id,smiles
15,Nc1ccc2ncccc2c1
18,CNC1CCN(c2ccccc2F)C1=O
19,Cc1[nH][nH]c(=O)c1CCO
25,O=c1cc[nH]c(=O)[nH]1
32,COCC(=O)Nc1ccc(O)cc1
33,O=C1CCC(NC(=O)c2cscn2)CN1
44,O=C1CNCCN1
50,Oc1ccccn1
55,Cc1nsc(NC2CCCC2CO)n1
56,CC(C)/C(N)=N/O
72,CCOC(=O)c1c(C)n[nH]c1C
76,CNc1nccc2ccccc12
84,O=c1cc(Br)cc[nH]1
85,NC(=O)c1ccnc(NC2CC=CC2)c1
88,CNC(=O)c1cn(C)c2ccccc12
1005,COC(=O)c1cnc2[nH]cc(N)cc1-2
1468,CNc1cnc2cccc(Br)c2n1
1494,Nc1cc2ccnc-2[nH]c1O
1852,CCOC(=O)c1c(CO)n[nH]c1C
3755,NC1COc2ccc(CO)cc21
3983,Nc1ccccc1N
4011,NC(=O)c1cc(O)ccc1N
4401,N#CCC(N)=O
4408,CSc1ccc(N)cc1
4423,NC(=O)c1ccc(C(=O)O)c(Cl)c1
4424,NC1CCC(=O)NC1
4425,O=C(O)COc1cccc(F)c1
4426,CNCc1cccc(O)n1
4427,CCOc1ncccc1C(=O)O
4428,CNCc1ccc(O)nc1
4429,Clc1c(I)ccc2[nH]cnc12
4430,NC1CCCC1CO
4431,Cn1nccc1C(=O)OCC(=O)Nc1cccc(Cl)c1
4432,NCc1ccc(O)s1
4433,CCOC(=O)c1ccnn1C
4434,COc1ccc(C(=O)COC(=O)c2ccnn2C)cc1
4435,Cn1nccc1C(=O)OCC(=O)NCc1ccccc1
4436,CC(C)(C)OC(=O)NCO
4438,Cc1c(C(=O)O)ccnc1NC1CC=CC1
4439,Nc1ccccc1
4440,NCc1cccs1
4441,O=C(O)c1cccc2cc(Cl)[nH]c12
4442,N#CO
4443,CN
4444,Oc1cc2c(cc1Br)OCO2
4445,OB(O)c1ccn[nH]1
4447,CC1(C)OB(c2ccn[nH]2)OC1(C)C
4448,CCOC(=O)c1c(O)ccc2c1OCO2
4449,COCC(=O)O
4450,Nc1cccc(C(=O)NCc2cccs2)c1
4451,Cc1cccc(O)c1I
4452,Nc1ccc(O)cc1
4453,Cc1c[nH]c2cccc(C(=O)O)c12
4454,O=Cc1nn(CC(=O)O)c2ccccc12
4457,CNC
4458,Cn1nccc1C(=O)NCc1csc(Br)n1
4459,OB(O)c1ncn[nH]1
4460,CC1(C)OB(c2ncn[nH]2)OC1(C)C
4461,CCOc1cccc2ncc(Cl)nc12
4462,Cn1cc(C(=O)O)c2ccc(Cl)cc21
4463,ClCc1noc(Br)n1
4465,Nc1ccc2c(C(=O)O)cccc2c1
4466,O=S1(=O)CCC(CCl)C1
4467,O=c1ccnc[nH]1
4468,O=C1CCC(Cl)NN1
4470,NC1CCCC1c1csc(-c2nc[nH]n2)n1
4471,Cc1nsc(F)n1
4472,CCc1nc(CCl)no1
4473,Clc1ccncc1
4476,Nc1cc(O)ccc1Br
4477,COCC(N)=O
4478,O=C(O)Cc1cccc(=O)[nH]1
4479,Cc1ccncc1N
4480,Nc1cc(Br)cc2c1OCO2
4481,CNC(=O)c1c(Cl)ccc2c1OCO2
4482,CNC(=O)c1c(Br)ccc2c1OCO2
4483,Oc1cnccc1Br
4484,Oc1c(Cl)ncc2ccccc12
4485,On1nccc1I
4486,OB(O)c1ccc2c(c1)OCO2
4487,On1nccc1Br
4488,CC1(C)OB(c2ccc3c(c2)OCO3)OC1(C)C
4489,CNNC=O
4490,Cc1cc(I)cc(F)n1
4492,CC(CCB1OC(C)(C)C(C)(C)O1)NC(N)=O
4493,Nc1ccc(O)c(B(O)O)c1
4495,O=C1CCC(NC(=O)c2csc(I)n2)CN1
4496,O=C1CCC(NC(=O)c2csc(Br)n2)CN1
4497,N#Cc1c(O)ccc(N)c1F
4499,CNCC(N)=O
4500,CCOC(=O)c1csc(-c2c(C)n[nH]c2C)n1
4501,O=C(O)C(CS)c1cccc(Br)c1
4503,CCC(N)N
4504,CN(C)C(=O)CN
4505,Brc1cnc2ccccc2n1
4506,CC(C)(C)B(O)O
4507,CC(C)(C)B1OC(C)(C)C(C)(C)O1
4508,CCCO
4509,Nc1cc(Br)c[nH]1
4511,CC(C)CCB1OC(C)(C)C(C)(C)O1
4512,CC(C)CCB(O)O
4513,O=C(O)c1ccc(CO)c2c1OCCO2
4514,COCC(=O)OC1CNC1
4515,COCC(=O)OC1CCNC1
4516,COCC(=O)OCCC1CCCNC1
4517,COCC(=O)OCCC1CCCCN1
4518,COCC(=O)OCCC1CCNCC1
4519,COCC(=O)OCC1CCNCC1
4520,COCC(=O)OCC1CCCNC1
4521,COCC(=O)OCC1CCNC1
4522,COCC(=O)OC1CCCNC1
4523,COCC(=O)OC1CCNCC1
4524,COCC(=O)OC(C)C
4525,CCOC(=O)COC
4526,COCC(=O)OC(=O)COC
4527,CCCCCCOC(=O)COC
4528,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C
4529,CCCCOC(=O)COC
4530,Cn1c(N)nc2cccc(Br)c21
4531,Nc1nc2ccc(F)cc2nc1Cl
4532,CN(C)CCCNc1cccc(CCl)c1
4533,CNN
4534,O=C(O)c1cccc(F)c1
4535,CC1CNCCN1
4536,O=S(=O)(Nc1ccccn1)c1cccc(Cl)c1O
4537,OB(O)Cc1cccs1
4538,CC1(C)OB(Cc2cccs2)OC1(C)C
4539,O=S(=O)(Nc1ccccn1)c1cccc(Br)c1O
4540,COC(=O)c1cn(C)c2ccc(N)cc12
4541,Nc1ccc2cccc(C=O)c2n1
4542,Cn1cc(CN)c2ccccc21
4543,CC1(C)OB(c2cnc3[nH]ccc3c2)OC1(C)C
4544,OB(O)c1cnc2[nH]ccc2c1
4545,Cc1c[nH]c2ncc(C(=O)O)c-2c1
4546,CO
4547,Nc1c(Cl)ccc2c1OCO2
4548,Nc1c(Br)ccc2c1OCO2
4549,O=C(O)c1cc(Cl)c2nc[nH]c2c1
4550,COc1ccccc1C(=O)OCC(C)C
4551,CCOC(=O)C1CSC2(CCNC(=O)C2)N1
4552,Cc1[nH][nH]c(=O)c1CC(=O)O
4553,Nc1cnc2[nH]ccc2c1
4554,CCc1nc(Br)no1
4555,CN(C)C(=O)CO
4556,NCc1cccc2nc(N)sc12
4557,Brc1cccc2[nH]cnc12
4558,CC(C)B(O)O
4560,CC(C)B1OC(C)(C)C(C)(C)O1
4561,Nc1cc(Br)cc(N)n1
4562,NOc1ccc(Br)cc1Br
4563,CC(C)B1OCCNCCO1
4564,CC(C)B1OCCCO1
4565,OCCl
4566,Clc1ccc2c(c1)NCO2
4568,CN(C)C(=O)CNc1cc[nH]c(=O)c1
4569,O=CO
4571,COCC(=O)OC(C)(C)C
4572,CCOC(=O)c1cn[nH]c1
4573,CC(C)(C)OC(=O)c1cn[nH]c1
4574,Cc1ccncc1NC(=O)CCl
4575,NC1CCC(=O)NC1=O
4577,CC1NC(=O)CCC1N
4579,NC(=O)c1cc(Cl)c(C(=O)O)c(Cl)c1
4581,CNC1CCC(=O)NC1
4583,CN1CC(N)CCC1=O
4588,CN1CC(C)(N)CCC1=O
4590,CNC1CCC(=O)NC1=O
4592,NC12CC(C1)C(=O)NC2=O
4594,CC1(C)NC(=O)CCC1N
4596,CN1C(=O)CCC(N)C1=O
4598,CNC1CCC(=O)N(C)C1
4601,CCNC1CCC(=O)NC1
4603,CCN1CC(N)CCC1=O
4605,CC1(N)CCC(=O)NC1=O
4616,CCN1C(=O)CCC(N)C1=O
4618,NC1CCC(=O)NC12CCC2
4620,CCC1(N)CCC(=O)NC1=O
4622,CC(C)N1CC(N)CCC1=O
4624,NC1(CO)CCC(=O)NC1=O
4626,NC1CNC(=O)CC12CCC2
4628,CN1CC2NCCC2CC1=O
4630,NC12CCCC(C1)C(=O)NC2
4633,CC(C)C1(N)CCC(=O)NC1=O
4637,NC1CCC(=O)N(C2CC2)C1=O
4646,NC1CCC(=O)NC12CCOCC2
4648,NC1CCC(=O)NC1C1CCCO1
4650,NC1CCC(=O)NC1C1CCNCC1
4652,NC1CCC(=O)N(c2ccccc2)C1
4654,NC1(c2ccccc2)CCC(=O)NC1
4656,Cn1cncc1C1NC(=O)CCC1N
4658,Cn1cc(N2CC(N)CCC2=O)cn1
4660,CN1C(=O)CCC(N)C1c1cccs1
4662,NC1CCC(=O)NC1c1ccccc1
4670,NC1CCC(=O)N(Cc2ccccc2)C1
4674,O=C1CCC(N2CCNCC2=O)C(=O)N1
4676,CCn1nccc1C1NC(=O)CCC1N
4680,CC(C)(C)OC(=O)N1CC(N)CCC1=O
4683,O=C1CCC(Nc2cccc(Br)c2)C(=O)N1
4685,O=C1CCC(Nc2ccc(Br)cc2)C(=O)N1
4691,CC(C)n1nccc1C1NC(=O)CCC1N
4693,CN1CC(NCC2CCCNC2)CCC1=O
4696,Nc1cccc(NC2CCC(=O)NC2=O)c1
4699,Nc1ccc(NC2CCC(=O)NC2=O)cc1
4711,CCC1(c2ccccc2)CC(=O)NC(=O)C1N
4713,C#Cc1ccc(NC2CCC(=O)NC2=O)cc1
4715,CN1CC(NC2CCC(=O)N(C)C2)CCC1=O
4718,CC(C)(C)OC(=O)CN1C(=O)CCC(N)C1=O
4720,COc1ccc(C2NC(=O)CCC2N)cc1OC
4722,Nc1ccccc1C(=O)NC1CCC(=O)NC1=O
4724,Nc1cccc(C(=O)NC2CCC(=O)NC2=O)c1
4728,O=C(O)COc1ccc(F)c(F)c1
4730,O=C(O)COc1cccc(F)c1F
4731,Oc1ccc2c(n1)CNC2
4733,O=C(O)C1Cc2ccc(F)cc2O1
4736,O=C(O)COc1cc(F)cc(F)c1
4739,O=C(O)C1Cc2c(F)cccc2O1
4742,O=C(O)COc1cc(F)ccc1Br
4745,O=C(O)COc1cccc(F)c1O
4748,O=C(O)COc1ccc(Cl)c(F)c1
4751,O=C(O)COc1cc(F)cc(Cl)c1
4754,CC(Oc1cccc(F)c1)C(=O)O
4759,Cc1ccc(OCC(=O)O)cc1F
4761,CCNCc1cccc(O)n1
4763,Oc1ccc2c(n1)CNCC2
4765,O=C(O)COc1cc(F)ccc1F
4767,Cc1cc(F)cc(OCC(=O)O)c1
4771,COc1ccc2c(n1)CNC2
4774,Oc1nc2c(cc1I)CNC2
4776,CNCc1cccc(OC)n1
4808,CC(Oc1cc(F)cc(Cl)c1)C(=O)O
4810,O=C(O)COc1ccc(Br)c(F)c1F
4814,O=C(O)COc1cc(Br)cc(F)c1F
4817,CC(Oc1ccc(Cl)c(F)c1)C(=O)O
4821,O=C(O)C(F)Oc1ccc(Cl)c(F)c1
4823,O=C(O)C1(Oc2cccc(F)c2)CC1
4826,O=C(O)C1CCc2ccc(F)cc2O1
4829,CC(C)(Oc1cccc(F)c1)C(=O)O
4833,CC(Oc1ccc(F)c(F)c1)C(=O)O
4836,COc1ccc(OCC(=O)O)cc1F
4842,COc1cc(F)cc(OCC(=O)O)c1
4845,Cc1cc(F)cc(OC(C)C(=O)O)c1
4848,O=C(O)COc1c(F)ccc(F)c1F
4851,CC(Oc1cc(F)cc(F)c1)C(=O)O
4854,N#Cc1ccc(OCC(=O)O)cc1F
4857,O=Cc1ccc(OCC(=O)O)cc1F
4875,N#Cc1cc2c(nc1O)CNC2
4886,Oc1cc(O)c2c(n1)CNCC2
4897,COCC(Oc1cccc(F)c1)C(=O)O
4913,O=C(O)COc1c(F)c(F)cc(F)c1F
4917,CNCc1cccc(OC(C)C)n1
4920,CC(C)(Oc1cc(F)cc(F)c1)C(=O)O
4929,CCC(Oc1cccc(F)c1Cl)C(=O)O
4932,CCC(Oc1ccc(Cl)c(F)c1)C(=O)O
4934,O=C(O)COc1cc(F)ccc1[N+](=O)[O-]
4974,O=C(O)COc1cc(F)ccc1C(=O)O
4991,CC(C)(C)NCc1cccc(O)n1
4996,CCC(Oc1cc(F)ccc1Cl)C(=O)O
4999,O=C(O)COc1ccc([N+](=O)[O-])c(F)c1
5005,NC(=O)c1cc2c(nc1O)CNC2
5009,O=C(O)C(F)(F)Oc1ccc(Cl)c(F)c1
5014,CC(C)(Oc1ccc(F)c(F)c1)C(=O)O
5016,CCC(Oc1ccc(C)c(F)c1)C(=O)O
5023,O=C(O)COc1cccc(F)c1[N+](=O)[O-]
5030,COc1cccc(CNC2CC2)n1
5040,CCC(Oc1cc(F)cc(F)c1)C(=O)O
5044,NCC(Oc1cccc(F)c1F)C(=O)O
5072,COCC(Oc1ccc(Br)c(F)c1)C(=O)O
5080,CC(C)C(Oc1cc(F)cc(Cl)c1)C(=O)O
5097,O=C(O)COc1c(F)c(F)c(F)c(F)c1F
5102,COC(=O)c1ccc(F)cc1OCC(=O)O
5105,O=C(O)COc1cc(F)ccc1C(F)(F)F
5117,COCC(Oc1cc(F)cc(F)c1)C(=O)O
5140,Cc1ccc(OC(C(=O)O)C(C)C)cc1F
5153,COCC(Oc1cccc(F)c1Cl)C(=O)O
5155,COCC(Oc1ccc(Cl)c(F)c1)C(=O)O
5161,O=C(O)COc1c(F)c(F)c(Cl)c(F)c1F
5166,CC(C)C(Oc1cc(F)ccc1Cl)C(=O)O
5184,O=C(O)COc1cc(F)c(Br)cc1[N+](=O)[O-]
5208,CC(C)C(Oc1ccc(Cl)c(F)c1)C(=O)O
5214,COc1ccc(F)cc1OC(C)(C)C(=O)O
5222,COCC(Oc1cc(F)cc(Cl)c1)C(=O)O
5234,CC(C)C(Oc1cccc(F)c1Cl)C(=O)O
5249,COCC(Oc1cc(F)ccc1Cl)C(=O)O
5264,O=C(O)COc1ccc(OC(F)(F)F)c(F)c1
5359,CCCCC(Oc1cc(F)cc(F)c1)C(=O)O
5440,O=C(O)COc1cc(F)c([N+](=O)[O-])cc1[N+](=O)[O-]
5464,O=C(O)C(Oc1cccc(F)c1)c1ccccc1
5487,COc1cccc(CNCC2(C)COC2)n1
5552,CC(Oc1ccc(-c2ccccc2)c(F)c1)C(=O)O
5558,O=C(O)C(Oc1ccc(F)c(F)c1)c1ccccc1
5589,O=C(O)COc1c(F)c(F)c(C(F)(F)F)c(F)c1F
5599,O=C(O)COc1cccc(F)c1Oc1ccccc1
5693,c1ccc(Oc2cccc(C3CCCN3)n2)cc1
5696,O=C(O)C(Oc1cc(F)ccc1[N+](=O)[O-])c1ccccc1
5756,CC(C)(C)OC(=O)NCC(Oc1cccc(F)c1F)C(=O)O
5793,CCOc1ncc(I)cc1C(=O)O
5795,CCOc1ncc(Cl)cc1C(=O)O
5797,C#CCOc1ncccc1C(=O)O
5799,CCOc1nc(C)ccc1C(=O)O
5801,CCOc1nc(Cl)ccc1C(=O)O
5803,CCOc1nccc(C)c1C(=O)O
5806,CCOc1ncc(Br)cc1C(=O)O
5808,Oc1cc2c(cn1)CNCC2
5813,CCCOc1ncccc1C(=O)O
5817,O=C(O)c1cccnc1OCCO
5820,CC(C)Oc1ncccc1C(=O)O
5825,Oc1ccc2c(n1)CCNC2
5829,CNCc1ccc(OC)nc1
5831,O=C(O)c1cccnc1OC1CCC1
5836,COCCOc1ncccc1C(=O)O
5838,CC#CCOc1ncccc1C(=O)O
5840,CC(C)Oc1ncc(Br)cc1C(=O)O
5844,CC(C)COc1ncccc1C(=O)O
5847,CCCCOc1ncccc1C(=O)O
5849,CCCOc1nc(C)ccc1C(=O)O
5857,CC(C)Oc1ncc(Cl)cc1C(=O)O
5873,O=C(O)c1cccnc1OCC1CC1
5878,O=C(O)c1cccnc1OCC(F)F
5896,Oc1nc2c(cc1F)CNCC2
5898,COc1cc2c(cn1)CNCC2
5901,CNCc1cnc(OC)c(C)c1
5903,COc1ccc2c(n1)CCNC2
5913,Oc1ccc2c(n1)CCCNC2
5915,Oc1cc(O)c2c(n1)CCNC2
5917,Oc1ccc(C2CCCN2)cn1
5945,CCOc1ncc([N+](=O)[O-])cc1C(=O)O
5964,CCCOc1nc(C)cc(C)c1C(=O)O
5984,CCCCOc1ncc(I)cc1C(=O)O
5987,O=C(O)c1cccnc1OC1CCNC1
5990,O=C(O)c1cccnc1OCC1CCC1
5993,O=C(O)c1cccnc1OC1CCOC1
5995,O=C(O)c1ccc(Cl)nc1OC1CCC1
5999,O=C(O)c1cc(Br)cnc1OCC1CC1
6019,O=C(O)c1cccnc1OCCN1CC1
6021,C#CCCCOc1ncccc1C(=O)O
6040,O=C(O)c1cccnc1OCC(F)(F)F
6043,CC(C)CCOc1ncccc1C(=O)O
6076,O=C(O)c1cccnc1OC1CCCC1
6081,COc1ccc(CNC2CC2)cn1
6084,COc1ccc(C2CCCN2)cn1
6087,N#Cc1cc2c(nc1O)CCNC2
6089,Oc1ccc(C2CCCCN2)cn1
6091,CC1(C)CNCc2ccc(O)nc21
6113,Cc1cc(C)c(C(=O)O)c(OC2CCC2)n1
6121,O=C(O)c1cccnc1OC1CCOCC1
6123,COc1ccc(C2CCCCN2)cn1
6156,CCOc1nc(C(F)(F)F)ccc1C(=O)O
6175,CC(Oc1ncccc1C(=O)O)C(F)(F)F
6187,CCOc1ccc2c(n1)OCCNC2
6190,CNCc1cnc(OC(C)C)c(Cl)c1
6217,O=C(O)c1cccnc1OC1CCNCC1
6248,NC(=O)c1cc2c(nc1O)CCNC2
6252,O=C(O)c1cc2c(nc1O)CCNC2
6270,O=C(O)c1cc(O)nc2c1CNCC2
6282,O=C(O)c1cccnc1OC1CCCCC1
6316,O=C(O)c1cc(Br)cnc1OCCN1CC1
6327,Cc1ccc(C(=O)O)c(OCC2CCCO2)n1
6330,Cc1cc(C)c(C(=O)O)c(OCC(F)(F)F)n1
6367,O=C(O)c1cccnc1OCC1CCOCC1
6374,O=C(O)c1cc(Br)cnc1OC1CCNCC1
6392,O=C(O)c1cccnc1OCC1CCNCC1
6440,O=C(O)c1cc(Br)cnc1OC1CCCCC1
6473,CC(=O)NCCOc1ncc(Br)cc1C(=O)O
6475,COc1ccc(CNCC2CC2)cn1
6487,CN1CCc2nc(O)c(CN)cc2C1
6495,CC(C)Oc1nc(C(F)(F)F)ccc1C(=O)O
6515,CCCOc1nc2ccccc2cc1C(=O)O
6529,O=C(O)c1cc(Br)cnc1OC1CCOCC1
6555,O=C(c1ccc(O)nc1)N1CCNCC1
6561,COC(=O)c1cc(O)nc2c1CNCC2
6570,COc1ncc(C2CCCCN2)cc1C
6588,CS(=O)(=O)c1cc2c(nc1O)CCNC2
6592,N#Cc1cc2c(nc1O)CC1CCC2N1
6612,COCCOc1ccc2c(n1)CCNC2
6635,CCCOc1nc2ccc(F)cc2cc1C(=O)O
6654,FC(F)(F)COc1ccc2c(n1)CCNC2
6656,CCOC(=O)C1NCCc2nc(O)ccc21
6750,COc1ccc(CN2CCNCC2C)cn1
6752,COc1ccc(CNC2CCCC2O)cn1
6819,O=C(O)c1cc(Br)cnc1OCC1CCNCC1
6898,COc1ccc(CN2CCC(N)CC2)cn1
6918,CNCc1ccc(OC2CCOCC2)nc1
6938,CCOc1ccc(CN2CCNCC2)cn1
7093,O=C(O)c1ccc(C(F)(F)F)nc1OCC(F)(F)F
7190,COc1ccc(CNCC2CCCCC2)cn1
7193,Nc1ccccc1C(=O)NCc1ccc(O)nc1
7208,C=CCCCCOc1nccc(C(F)(F)F)c1C(=O)O
7436,Nc1ccc(C(=O)NCc2ccc(O)nc2)cc1
7438,CN(C)C(=O)c1ccc(OC2CCNCC2)nc1
7446,CC(C)N(C)Cc1ccc(OC2CCNC2)nc1
7450,O=C(COc1ncccc1C(=O)O)Nc1ccc(Br)cc1
7695,CC(C)(C)OC(=O)N1CC(Oc2ncccc2C(=O)O)C1
