target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C49586,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,CNC(=O)C1CCN1,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CCC1C(=O)NC,N-nucleophilic_aromatic_substitution,,
C49058,2,,,,N#Cc1c(O)ccc(N)c1F,O=C(O)C1=CCCO1,N#Cc1c(O)ccc(NC(=O)C2=CCCO2)c1F,Amidation,,,CN(C)CC(N)=O,N#Cc1c(O)ccc(NC(=O)C2=CCCO2)c1F,CN(C)CC(=O)Nc1c(NC(=O)C2=CCCO2)ccc(O)c1C#N,N-nucleophilic_aromatic_substitution,,
C48483,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,O=C1CNC(=S)N1,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CC(=O)NC1=S,N-nucleophilic_aromatic_substitution,,
C48486,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,O=C1CNC(=S)N1,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1C(=O)CNC1=S,N-nucleophilic_aromatic_substitution,,
C48525,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OC)C(=O)O,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,CC1NCCNC1=O,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1N1CCNC(C)C1=O,N-nucleophilic_aromatic_substitution,,
C49727,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,CC1NCCNC1=O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CCNC(C)C1=O,N-nucleophilic_aromatic_substitution,,
C49737,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,CC1NCCNC1=O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CCNC(=O)C1C,N-nucleophilic_aromatic_substitution,,
C48637,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,N=C1NCC(=O)N1,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1C(=N)NCC1=O,N-nucleophilic_aromatic_substitution,,
C48638,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OCC)C(=O)O,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,N=C1NCC(=O)N1,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1F,C=C(OCC)C(=O)Nc1ccc(O)c(C#N)c1N1CC(=O)NC1=N,N-nucleophilic_aromatic_substitution,,
C48685,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OC)C(=O)O,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,CNC(=O)C1CCN1,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1N(C)C(=O)C1CCN1,N-nucleophilic_aromatic_substitution,,
C48686,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OC)C(=O)O,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,CNC(=O)C1CCN1,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1N1CCC1C(=O)NC,N-nucleophilic_aromatic_substitution,,
C48766,2,,,,N#Cc1c(O)ccc(N)c1F,C=C(OC)C(=O)O,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1F,CNC(C)(C)C(N)=O,C=C(OC)C(=O)Nc1ccc(O)c(C#N)c1NC(=O)C(C)(C)NC,N-nucleophilic_aromatic_substitution,,
C48234,2,,,,COCC(=O)O,N#Cc1c(O)ccc(N)c1F,COCC(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,COCC(=O)Nc1ccc(O)c(C#N)c1F,CN(C)CC(N)=O,COCC(=O)Nc1ccc(O)c(C#N)c1NC(=O)CN(C)C,N-nucleophilic_aromatic_substitution,,
C49994,2,,,,N#Cc1c(O)ccc(N)c1F,CCOC(CC)C(=O)O,CCOC(CC)C(=O)Nc1ccc(O)c(C#N)c1F,Amidation,,,N=C1NCC(=O)N1,CCOC(CC)C(=O)Nc1ccc(O)c(C#N)c1F,CCOC(CC)C(=O)Nc1ccc(O)c(C#N)c1N1C(=N)NCC1=O,N-nucleophilic_aromatic_substitution,,
