1_r1_smiles,1_r2_smiles,1_reaction,2_r1_smiles,2_r2_smiles,2_reaction,compound_set,input_num,route_uuid,smiles,hit1_short,hit2_short,datetime,num_steps,flat_inchi
NC1CCC(=O)NC1,NC(=O)c1ccc(C(=O)O)c(Cl)c1,Amidation,,,,cx1371a-cx0300a,44.0,32fgo7,NC(=O)c1ccc(C(=O)N[C@@H]2CCC(=O)NC2)c(Cl)c1,cx1371a,cx0300a,2024-09-03 18:02:00,1.0,SMVDAYWKXWVCAN-UHFFFAOYSA-N
O=C(O)COc1cccc(F)c1,CNCc1cccc(O)n1,Amidation,,,,cx0540a-cx1118a,134.0,qehMd6,CN(Cc1cccc(O)n1)C(=O)COc1cccc(F)c1,cx1118a,cx0540a,2024-09-04 10:07:00,1.0,MNLAWAQYKQVGLK-UHFFFAOYSA-N
CNCc1ccc(O)nc1,CCOc1ncccc1C(=O)O,Amidation,,,,cx0522a-cx1118a,50.0,tTnD23,CCOc1ncccc1C(=O)N(C)Cc1ccc(O)nc1,cx0522a,cx1118a,2024-09-03 20:56:00,1.0,FCGOSHSMTQLVEX-UHFFFAOYSA-N
NC1CCCC1CO,Clc1c(I)ccc2[nH]cnc12,Buchwald-Hartwig_amination,,,,cx0894a-cx0406a,238.0,bk89Er,OC[C@@H]1CCC[C@H]1Nc1ccc2[nH]cnc2c1Cl,cx0406a,cx0894a,2024-09-04 11:35:00,1.0,WHLDZOYDHAHKLT-UHFFFAOYSA-N
NCc1ccc(O)s1,CCOC(=O)c1ccnn1C,Ester_amidation,,,,cx0892a-cx1151a,128.0,8NWsBn,Cn1nccc1C(=O)NCc1ccc(O)s1,cx1151a,cx0892a,2024-09-04 09:20:00,1.0,IMTCTUMLWQUKFC-UHFFFAOYSA-N
CC(C)(C)OC(=O)NCO,,N-Boc_deprotection,NCO,Cc1c(C(=O)O)ccnc1NC1CC=CC1,Amidation,cx0441a-cx0317a,171.0,wzbbXS,Cc1c(C(=O)NCO)ccnc1NC1CC=CC1,cx0317a,cx0441a,2024-09-04 09:36:00,2.0,YIIMVUSFSKUYCA-UHFFFAOYSA-N
Nc1ccccc1,NC(=O)c1ccc(C(=O)O)c(Cl)c1,Amidation,,,,cx0692a-cx1371b,289.0,3uzgF9,NC(=O)c1ccc(C(=O)Nc2ccccc2)c(Cl)c1,cx0692a,cx1371b,2024-09-04 11:28:00,1.0,QQBWHKPVEOERHW-UHFFFAOYSA-N
NCc1cccs1,CNc1cnc2cccc(Br)c2n1,Buchwald-Hartwig_amination,,,,cx0839a-cx0892a_copy,163.0,QStn32,CNc1cnc2cccc(NCc3cccs3)c2n1,cx0892a,cx0839a,2024-09-04 09:18:00,1.0,ALGNJYIWMHXFNH-UHFFFAOYSA-N
O=C(O)c1cccc2cc(Cl)[nH]c12,CN,Amidation,,,,cx0399f-cx0894b,272.0,tSHUwd,CNC(=O)c1cccc2cc(Cl)[nH]c12,cx0894b,cx0399f,2024-09-04 10:09:00,1.0,RZIGAYKJCIITOG-UHFFFAOYSA-N
Oc1cc2c(cc1Br)OCO2,OB(O)c1ccn[nH]1,Sp2-sp2_Suzuki_coupling,,,,cx0864d-cx1305b,303.0,3syRcY,Oc1cc2c(cc1-c1ccn[nH]1)OCO2,cx0864d,cx1305b,2024-09-04 10:31:00,1.0,DETJXFSIQJPJAJ-UHFFFAOYSA-N
