Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites alias,ConformerSites upload name,CanonSites alias,CanonSites upload name,CrystalformSites alias,CrystalformSites upload name,Quatassemblies alias,Quatassemblies upload name,Crystalforms alias,Crystalforms upload name,[Other] phosphate-binding site,[Other] ignore,[Other] subsite1,[Other] New
c0289a,CHIKV_MacB-x0289_C_401_v1,CHIKV_MacB-x0289,Z104492884,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0620a,CHIKV_MacB-x0620_C_401_v1,CHIKV_MacB-x0620,Z26333434,N#Cc1ccc(Cn2cnc3ccccc32)cc1,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0553a,CHIKV_MacB-x0553_A_401_v1,CHIKV_MacB-x0553,Z2033637875,Cc1nsc(N(C)CC(N)=O)c1C#N,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0553b,CHIKV_MacB-x0553_B_304_v1,CHIKV_MacB-x0553,Z2033637875,Cc1nsc(N(C)CC(N)=O)c1C#N,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0270a,CHIKV_MacB-x0270_A_304_v1,CHIKV_MacB-x0270,Z100643660,CNC(=O)c1cn(C)c2ccccc12,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0281a,CHIKV_MacB-x0281_C_304_v1,CHIKV_MacB-x0281,Z1041785508,c1csc(-c2nnc[nH]2)n1,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0294b,CHIKV_MacB-x0294_A_501_v1,CHIKV_MacB-x0294,Z1079168976,N#CCc1nccn1CC(F)(F)F,CHIKV_MacB-x0294/A/73/A_v1,True,8a - c0294+A+501,8a - CHIKV_MacB-x0294+A+501,8 - c0294+A+501+1,8 - CHIKV_MacB-x0294+A+501+1,F1h - c0294/A/501,F1h - CHIKV_MacB-x0294/A/501/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0294a,CHIKV_MacB-x0294_A_401_v1,CHIKV_MacB-x0294,Z1079168976,N#CCc1nccn1CC(F)(F)F,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0294c,CHIKV_MacB-x0294_B_304_v1,CHIKV_MacB-x0294,Z1079168976,N#CCc1nccn1CC(F)(F)F,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0295a,CHIKV_MacB-x0295_A_401_v1,CHIKV_MacB-x0295,Z1079512010,Cc1cc(Cn2nc(C)ccc2=O)on1,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
c0300a,CHIKV_MacB-x0300_A_401_v1,CHIKV_MacB-x0300,Z1102357527,O=C1CC[C@@H](NC(=O)c2cscn2)CN1,CHIKV_MacB-x0300/A/143/A_v1,True,1a - c0300+A+401,1a - CHIKV_MacB-x0300+A+401,1 - c0300+A+401+1,1 - CHIKV_MacB-x0300+A+401+1,F1a - c0270/A/304,F1a - CHIKV_MacB-x0270/A/304/1,A1 - monomer,A1 - monomer,F1 - P31-4fold-NCS,F1 - P31-4fold-NCS,False,False,False,True
