hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,chemistry_types,scaffold_series
93,CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,WXVLITNXXROEMR-UHFFFAOYSA-N,1,1,{6297},"['JA', 'SeeSAR', 'Syndirella base', 'merge', 'raw', 'fragmenstein', 'pure_merges']",1,{1},[103],"{4554, 85}",Buchwald-Hartwig_amidation_with_amide-like_nucleophile,[93]
95,O=c1ccncn1CC1CCS(=O)(=O)C1,UGYMLSSIEIESGU-UHFFFAOYSA-N,1,0,set(),"['SeeSAR', 'Syndirella base', 'JA', 'merge']",1,{1},[29],"{4466, 4467}",Nucleophilic_substitution_with_amine,[95]
104,Cn1c(N)nc2cccc(NCc3cccs3)c21,DGASNXVGKHJXGC-UHFFFAOYSA-N,1,1,{6278},"['SeeSAR', 'Syndirella base', 'DF', 'merge', 'raw', 'arg144_pures', 'fragmenstein', 'pure_merges']",1,{1},[82],"{4440, 4530}",Buchwald-Hartwig_amination,[104]
796,Nc1cc(-c2cc[nH]n2)cc2c1OCO2,RGWZNWCCBDMABV-UHFFFAOYSA-N,1,0,set(),"['Syndirella base', 'raw', 'arg144_pures', 'fragmenstein', 'pure_merges']",1,{1},[37],"{4480, 4445}",Sp2-sp2_Suzuki_coupling,[796]
1001,COC(=O)c1cnc2[nH]cc(C)cc1-2,QZVYQICELPCZOV-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'pure_merges']",1,{1},[94],"{4545, 4546}",Steglich_esterification,[1001]
1128,CC(C)c1cccc2[nH]cnc12,DZVXXHSUENHLJH-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'pure_merges']",1,{1},[105],"{4557, 4558}",Sp3-sp2_Suzuki_coupling,[1128]
1316,CC1CN(C(=O)c2cccc(F)c2)CCN1,GEKAQEZWMKZGCA-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'pure_merges']",1,{1},[85],"{4534, 4535}",Amidation,[1316]
1473,CC(C)(C)c1cnc2ccccc2n1,MMXSHBZOILNLPJ-UHFFFAOYSA-N,1,1,{6276},"['Syndirella base', 'raw', 'arg144_pures', 'fragmenstein', 'pure_merges']",1,{1},[61],"{4505, 4507}",Sp3-sp2_Suzuki_coupling,[1473]
1917,CCc1nc(Cn2ccc(Br)cc2=O)no1,QQERROZMPKKQER-UHFFFAOYSA-N,1,1,{6251},"['raw', 'fragmenstein', 'Syndirella base', 'pure_merges']",1,{1},[33],"{4472, 84}",Nucleophilic_substitution_with_amine,[1917]
2916,COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1,QVSYFXSEJNFZKD-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'arg144_pures']",1,{1},[17],"{4449, 4450}",Amidation,[2916]
2925,Cc1cccc(O)c1Nc1ccccc1,XQWKZXHQRAAZAF-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'arg144_pures']",1,{1},[108],"{4451, 4439}",Buchwald-Hartwig_amination,[2925]
3284,Oc1cc2c(cc1-c1ccn[nH]1)OCO2,DETJXFSIQJPJAJ-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'arg144_pures']",1,{1},[14],"{4444, 4445}",Sp2-sp2_Suzuki_coupling,[3284]
3624,COCC(=O)Nc1ccc(O)cc1N,XMHJIXAUMMKGLT-UHFFFAOYSA-N,1,0,set(),"['raw', 'fragmenstein', 'Syndirella base', 'arg144_pures']",1,{1},[35],"{4476, 4477}",Buchwald-Hartwig_amidation_with_amide-like_nucleophile,[3624]
3625,Cc1cccc(O)c1Nc1ccc(O)cc1,JXRCCCJCUJURBQ-UHFFFAOYSA-N,1,1,{104911},"['raw', 'fragmenstein', 'Syndirella base', 'arg144_pures']",1,{1},[18],"{4451, 4452}",Buchwald-Hartwig_amination,[2925]
