hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
85,NC(=O)c1ccnc(NC2CC=CC2)c1,NDEZMUYBKJXUGJ-UHFFFAOYSA-N,60.0,100.0,EUR,193.0,5,Enamine,In stock,EN300-7513505,NC(=O)c1ccnc(NC2CC=CC2)c1,0.95,6,6,"[103, 63375, 63376, 63379, 63381, 63382]","[93, 76982, 76984, 76990, 76994, 76996]",Buchwald-Hartwig_amidation_with_amide-like_nucleophile,{C x 1}
4554,CCc1nc(Br)no1,WBNVODTUMQHJMO-UHFFFAOYSA-N,10.0,20.0,EUR,24.0,5,Enamine,In stock,EN300-7282221,CCc1nc(Br)no1,0.95,1,1,[103],[93],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,{C x 1}
4466,O=S1(=O)CCC(CCl)C1,UCPALMJXNYQPBD-UHFFFAOYSA-N,6.0,20.0,EUR,34.0,5,Enamine,In stock,EN300-1448603,O=S1(=O)CCC(CCl)C1,0.95,6,6,"[29, 21169, 21201, 21477, 21522, 21557]","[95, 29491, 29545, 30047, 30136, 30204]",Nucleophilic_substitution_with_amine,{C x 1}
4467,O=c1ccnc[nH]1,DNCYBUMDUBHIJZ-UHFFFAOYSA-N,1.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-67372,O=c1ccnc[nH]1,0.95,1,1,[29],[95],Nucleophilic_substitution_with_amine,{C x 1}
4440,NCc1cccs1,FKKJJPMGAWGYPN-UHFFFAOYSA-N,11.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-20989,NCc1cccs1,0.95,2,2,"[82, 18687]","[104, 26522]","Amidation, Buchwald-Hartwig_amination",{C x 1}
4530,Cn1c(N)nc2cccc(Br)c21,FQBUUUIKMZYPJZ-UHFFFAOYSA-N,18.0,20.0,EUR,148.0,5,Enamine,In stock,EN300-3045078,Cn1c(N)nc2cccc(Br)c21,0.95,9,9,"[82, 65006, 65101, 65103, 65811, 65831, 66450, 66456, 66459]","[104, 78652, 78737, 78738, 79391, 79409, 79993, 79999, 80002]","Sp3-sp2_Suzuki_coupling, Buchwald-Hartwig_amination",{C x 1}
4445,OB(O)c1ccn[nH]1,NEUWPDLMDVINSN-UHFFFAOYSA-N,2.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-200298,OB(O)c1ccn[nH]1,0.95,2,2,"[14, 37]","[796, 3284]",Sp2-sp2_Suzuki_coupling,{C x 2}
4480,Nc1cc(Br)cc2c1OCO2,TYSVFBOLGCFLGI-UHFFFAOYSA-N,1.0,20.0,EUR,126.0,5,Enamine,In stock,EN300-814497,Nc1cc(Br)cc2c1OCO2,0.95,1,1,[37],[796],Sp2-sp2_Suzuki_coupling,{C x 1}
4545,Cc1c[nH]c2ncc(C(=O)O)c-2c1,MHTZMYMOQLUMHK-UHFFFAOYSA-N,10.0,20.0,EUR,75.0,5,Enamine,In stock,EN300-3039886,Cc1c[nH]c2ncc(C(=O)O)c-2c1,0.95,1,1,[94],[1001],Steglich_esterification,{C x 1}
4546,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,10.0,20.0,EUR,15.0,5,Enamine,In stock,EN300-22292,CO,0.95,1,1,[94],[1001],Steglich_esterification,{C x 1}
