hippo_id,smiles,inchikey,required_amount_mg,quoted_amount,quote_currency,quote_price,quote_lead_time_days,quote_supplier,quote_catalogue,quote_entry,quoted_smiles,quoted_purity,num_reaction_dependencies,num_product_dependencies,reaction_dependencies,product_dependencies,chemistry_types,scaffold_series
85,NC(=O)c1ccnc(NC2CC=CC2)c1,NDEZMUYBKJXUGJ-UHFFFAOYSA-N,60.0,100.0,EUR,193.0,5,Enamine,In stock,EN300-7513505,NC(=O)c1ccnc(NC2CC=CC2)c1,0.95,6,6,"[103, 63375, 63376, 63379, 63381, 63382]","[93, 76982, 76984, 76990, 76994, 76996]",Buchwald-Hartwig_amidation_with_amide-like_nucleophile,[93]
4554,CCc1nc(Br)no1,WBNVODTUMQHJMO-UHFFFAOYSA-N,10.0,20.0,EUR,24.0,5,Enamine,In stock,EN300-7282221,CCc1nc(Br)no1,0.95,1,1,[103],[93],Buchwald-Hartwig_amidation_with_amide-like_nucleophile,[93]
4466,O=S1(=O)CCC(CCl)C1,UCPALMJXNYQPBD-UHFFFAOYSA-N,6.0,20.0,EUR,34.0,5,Enamine,In stock,EN300-1448603,O=S1(=O)CCC(CCl)C1,0.95,6,6,"[29, 20933, 20934, 21323, 21327, 21501]","[95, 29052, 29053, 29774, 29780, 30095]",Nucleophilic_substitution_with_amine,[95]
4467,O=c1ccnc[nH]1,DNCYBUMDUBHIJZ-UHFFFAOYSA-N,1.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-67372,O=c1ccnc[nH]1,0.95,1,1,[29],[95],Nucleophilic_substitution_with_amine,[95]
4440,NCc1cccs1,FKKJJPMGAWGYPN-UHFFFAOYSA-N,12.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-20989,NCc1cccs1,0.95,3,3,"[82, 18687, 19288]","[104, 26522, 27123]","Buchwald-Hartwig_amination, Amidation",[2188]
4530,Cn1c(N)nc2cccc(Br)c21,FQBUUUIKMZYPJZ-UHFFFAOYSA-N,20.0,20.0,EUR,148.0,5,Enamine,In stock,EN300-3045078,Cn1c(N)nc2cccc(Br)c21,0.95,2,2,"[82, 47751]","[104, 59563]",Buchwald-Hartwig_amination,[104]
4445,OB(O)c1ccn[nH]1,NEUWPDLMDVINSN-UHFFFAOYSA-N,2.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-200298,OB(O)c1ccn[nH]1,0.95,2,2,"[14, 37]","[796, 3284]",Sp2-sp2_Suzuki_coupling,"[796, 3284]"
4480,Nc1cc(Br)cc2c1OCO2,TYSVFBOLGCFLGI-UHFFFAOYSA-N,4.0,20.0,EUR,126.0,5,Enamine,In stock,EN300-814497,Nc1cc(Br)cc2c1OCO2,0.95,4,4,"[37, 29609, 29677, 29817]","[796, 40371, 40492, 40715]",Sp2-sp2_Suzuki_coupling,[796]
4545,Cc1c[nH]c2ncc(C(=O)O)c-2c1,MHTZMYMOQLUMHK-UHFFFAOYSA-N,10.0,20.0,EUR,75.0,5,Enamine,In stock,EN300-3039886,Cc1c[nH]c2ncc(C(=O)O)c-2c1,0.95,1,1,[94],[1001],Steglich_esterification,[1001]
4546,CO,OKKJLVBELUTLKV-UHFFFAOYSA-N,10.0,20.0,EUR,15.0,5,Enamine,In stock,EN300-22292,CO,0.95,1,1,[94],[1001],Steglich_esterification,[1001]
4557,Brc1cccc2[nH]cnc12,MUQFMGBYYAOIJK-UHFFFAOYSA-N,1.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-115752,Brc1cccc2[nH]cnc12,0.95,1,1,[105],[1128],Sp3-sp2_Suzuki_coupling,[1128]
4558,CC(C)B(O)O,QIPHSSYCQCBJAX-UHFFFAOYSA-N,5.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-74363,CC(C)B(O)O,0.95,5,5,"[105, 64940, 64974, 64989, 64990]","[1128, 78580, 78624, 78633, 78634]",Sp3-sp2_Suzuki_coupling,[1128]
4534,O=C(O)c1cccc(F)c1,MXNBDFWNYRNIBH-UHFFFAOYSA-N,3.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-20215,O=C(O)c1cccc(F)c1,0.95,3,3,"[85, 50324, 50336]","[1316, 63063, 63089]",Amidation,[1316]
4535,CC1CNCCN1,JOMNTHCQHJPVAZ-UHFFFAOYSA-N,5.0,20.0,EUR,17.0,5,Enamine,In stock,EN300-20726,CC1CNCCN1,0.95,5,5,"[85, 50300, 50399, 50440, 50452]","[1316, 62996, 63177, 63238, 63250]",Amidation,[1316]
