target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2
C93,1,,,,NC(=O)c1ccnc(NC2CC=CC2)c1,CCc1nc(Br)no1,CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,Buchwald-Hartwig_amidation_with_amide-like_nucleophile,,,,,,,,
C95,1,,,,O=S1(=O)CCC(CCl)C1,O=c1ccnc[nH]1,O=c1ccncn1CC1CCS(=O)(=O)C1,Nucleophilic_substitution_with_amine,,,,,,,,
C71614,1,,,,Nc1ccc(Br)c(F)c1N,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cn1c(=O)[nH]c2cc(C(=O)Nc3ccc(Br)c(F)c3N)cc(Cl)c21,Amidation,,,,,,,,
C104,1,,,,NCc1cccs1,Cn1c(N)nc2cccc(Br)c21,Cn1c(N)nc2cccc(NCc3cccs3)c21,Buchwald-Hartwig_amination,,,,,,,,
C796,1,,,,OB(O)c1ccn[nH]1,Nc1cc(Br)cc2c1OCO2,Nc1cc(-c2cc[nH]n2)cc2c1OCO2,Sp2-sp2_Suzuki_coupling,,,,,,,,
C71637,1,,,,Nc1ccc(Br)c(F)c1N,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,Cn1c(=O)[nH]c2cc(C(=O)Nc3c(N)ccc(Br)c3F)cc(Cl)c21,Amidation,,,,,,,,
C1001,1,,,,Cc1c[nH]c2ncc(C(=O)O)c-2c1,CO,COC(=O)c1cnc2[nH]cc(C)cc1-2,Steglich_esterification,,,,,,,,
C1128,1,,,,Brc1cccc2[nH]cnc12,CC(C)B(O)O,CC(C)c1cccc2[nH]cnc12,Sp3-sp2_Suzuki_coupling,,,,,,,,
C28801,1,,,,O=S1(=O)CCC(CCl)C1,N#Cc1cnc[nH]c1=O,N#Cc1cncn(CC2CCS(=O)(=O)C2)c1=O,Nucleophilic_substitution_with_amine,,,,,,,,
C1316,1,,,,O=C(O)c1cccc(F)c1,CC1CNCCN1,CC1CN(C(=O)c2cccc(F)c2)CCN1,Amidation,,,,,,,,
C41737,1,,,,Oc1cnccc1Br,COc1c(I)cc(N)cc1I,COc1c(I)cc(Nc2ccncc2O)cc1I,Buchwald-Hartwig_amination,,,,,,,,
C1473,1,,,,Brc1cnc2ccccc2n1,CC(C)(C)B1OC(C)(C)C(C)(C)O1,CC(C)(C)c1cnc2ccccc2n1,Sp3-sp2_Suzuki_coupling,,,,,,,,
C1917,1,,,,O=c1cc(Br)cc[nH]1,CCc1nc(CCl)no1,CCc1nc(Cn2ccc(Br)cc2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C71664,1,,,,COc1ccc(N)cc1F,Cn1c(=O)[nH]c2cc(C(=O)O)cc(Cl)c21,COc1ccc(NC(=O)c2cc(Cl)c3c(c2)[nH]c(=O)n3C)cc1F,Amidation,,,,,,,,
C2916,1,,,,COCC(=O)O,Nc1cccc(C(=O)NCc2cccs2)c1,COCC(=O)Nc1cccc(C(=O)NCc2cccs2)c1,Amidation,,,,,,,,
C77866,1,,,,Cc1ccnc(CO)c1N,COc1cccc(C(F)(F)C(=O)O)n1,COc1cccc(C(F)(F)C(=O)Nc2c(C)ccnc2CO)n1,Amidation,,,,,,,,
C2925,1,,,,Nc1ccccc1,Cc1cccc(O)c1I,Cc1cccc(O)c1Nc1ccccc1,Buchwald-Hartwig_amination,,,,,,,,
C31622,1,,,,CCc1nc(CCl)no1,O=c1[nH]ccc(Br)c1Cl,CCc1nc(Cn2ccc(Br)c(Cl)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C31626,1,,,,CCc1nc(CCl)no1,Cc1c(Br)cc[nH]c1=O,CCc1nc(Cn2ccc(Br)c(C)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C41763,1,,,,Oc1cnccc1Br,CNc1ccc(OC)c(F)c1,COc1ccc(N(C)c2ccncc2O)cc1F,Buchwald-Hartwig_amination,,,,,,,,
C31630,1,,,,CCc1nc(CCl)no1,Nc1c(Br)cc[nH]c1=O,CCc1nc(Cn2ccc(Br)c(N)c2=O)no1,Nucleophilic_substitution_with_amine,,,,,,,,
C31632,1,,,,O=c1cc(Br)cc[nH]1,ClCc1noc(C2CC2)n1,O=c1cc(Br)ccn1Cc1noc(C2CC2)n1,Nucleophilic_substitution_with_amine,,,,,,,,
C31633,1,,,,Nc1c(Br)cc[nH]c1=O,ClCc1noc(C2CC2)n1,Nc1c(Br)ccn(Cc2noc(C3CC3)n2)c1=O,Nucleophilic_substitution_with_amine,,,,,,,,
